, 1.0.0, 1.1.0, 1.2.0, 1.3.0, 1.3.1, 1.3.2, 1.3.3, 1.4.0, 1.5.0, 1.5.1, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.6.4, 1.7.0, 1.7.1, 1.7.2, 1.8.0, 1.8.1, 1.9.0, 1.9.1, 1.9.2, 1.9.4, 1.9.5, 2.0.0, 
1.0.0,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000, 
1.1.0,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.985,0.985,0.985,0.985,0.865,0.865,0.865,0.865,0.865,0.865,0.715,0.715,0.715,0.715, 
1.2.0,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.3.0,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.3.1,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.3.2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.3.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.988,0.988,0.988,0.988,0.892,0.892,0.892,0.892,0.892,0.892,0.772,0.772,0.772,0.772, 
1.5.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.988,0.988,0.988,0.988,0.896,0.896,0.896,0.896,0.896,0.896,0.781,0.781,0.781,0.781, 
1.6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.988,0.988,0.988,0.988,0.896,0.896,0.896,0.896,0.896,0.896,0.781,0.781,0.781,0.781, 
1.6.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,0.988,0.988,0.988,0.896,0.896,0.896,0.896,0.896,0.896,0.781,0.781,0.781,0.781, 
1.6.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.904,0.904,0.904,0.904,0.904,0.904,0.784,0.784,0.784,0.784, 
1.6.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.904,0.904,0.904,0.904,0.904,0.904,0.784,0.784,0.784,0.784, 
1.6.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.904,0.904,0.904,0.904,0.904,0.904,0.784,0.784,0.784,0.784, 
1.7.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.938,0.938,0.938,0.938,0.714,0.938,0.862,0.862,0.862,0.862, 
